DATE,REGION,GOUVERNORAT,Port,T.PECHE,ESPECE,GROUPE,QR,Année
31/01/2021,Est,Mahdia,Mahdia,Chalut benthique,Chien de mer,P.blanc,748.8,2021
31/01/2021,Est,Mahdia,Mahdia,Chalut benthique,Emissole,P.blanc,1269.45,2021
31/01/2021,Est,Mahdia,Mahdia,Chalut benthique,Raie,P.blanc,4113.72,2021
31/01/2021,Est,Mahdia,Chebba,Chalut benthique,Chien de mer,P.blanc,52650,2021
31/01/2021,Est,Mahdia,Chebba,Chalut benthique,Raie,P.blanc,14098.5,2021
31/01/2021,Est,Mahdia,Chebba,Cotière,Chien de mer,P.blanc,8023,2021
31/01/2021,Est,Mahdia,Chebba,Cotière,Raie,P.blanc,1363.2,2021
31/01/2021,Est,Monastir,Monastir,Chalut benthique,Emissole,P.blanc,819,2021
31/01/2021,Est,Monastir,Monastir,Chalut benthique,Raie,P.blanc,702,2021
31/01/2021,Est,Monastir,Monastir,Cotière,Raie,P.blanc,142,2021
31/01/2021,Est,Monastir,Sayada,Chalut benthique,Raie,P.blanc,210.6,2021
31/01/2021,Est,Monastir,Sayada,Cotière,Roussette,P.blanc,127.8,2021
31/01/2021,Est,Monastir,Teboulba,Chalut benthique,Chien de mer,P.blanc,367.38,2021
31/01/2021,Est,Monastir,Teboulba,Chalut benthique,Raie,P.blanc,149.76,2021
31/01/2021,Est,Monastir,Teboulba,Cotière,Chien de mer,P.blanc,120.7,2021
31/01/2021,Est,Monastir,Teboulba,Cotière,Raie,P.blanc,71,2021
31/01/2021,Est,Monastir,Bekalta,Cotière,Roussette,P.blanc,1249.6,2021
31/01/2021,Est,Monastir,Bekalta,Cotière,Raie,P.blanc,1462.6,2021
31/01/2021,Est,Nabeul-E,Beni Khiar,Cotière,Chien de mer,P.blanc,42.6,2021
31/01/2021,Est,Nabeul-E,Beni Khiar,Cotière,Raie,P.blanc,170.4,2021
31/01/2021,Est,Sousse,Sousse,Chalut benthique,Chien de mer,P.blanc,471.51,2021
31/01/2021,Est,Sousse,Sousse,Chalut benthique,Raie,P.blanc,3680.82,2021
31/01/2021,Est,Sousse,Sousse,Cotière,Chien de mer,P.blanc,710,2021
31/01/2021,Est,Sousse,Hergla,Cotière,Chien de mer,P.blanc,284,2021
31/01/2021,Est,Sousse,Port el Kantaoui,Cotière,Chien de mer,P.blanc,213,2021
31/01/2021,Nord,Bèja,Zouaraa,Cotière,Raie,P.blanc,1420,2021
31/01/2021,Nord,Ben Arous,Hammam lif,Cotière,Raie,P.blanc,120.7,2021
31/01/2021,Nord,Bizerte,Bizerte,Chalut benthique,Chien de mer,P.blanc,1661.4,2021
31/01/2021,Nord,Bizerte,Bizerte,Chalut benthique,Roussette,P.blanc,1450.8,2021
31/01/2021,Nord,Bizerte,Bizerte,Chalut benthique,Raie,P.blanc,3313.44,2021
31/01/2021,Nord,Bizerte,Bizerte,Cotière,Chien de mer,P.blanc,411.8,2021
